File,Dataset_id,GSE_id,Species,Reference,Usage_primary,Usage_tags,Sample_type,Detail_source,Condition,Detailed_condition
GSE166797/GSM5085810_GM12878_rep1_final_analysis.h5mu,GSM5085810_GM12878_rep1,GSE166797,Homo Sapiens,HG38,model_training,model_training;control;cell_line,Cell Line,GM12878 (Cell Line),Healthy/Control,Control
GSE166797/GSM5085812_GM12878_rep2_final_analysis.h5mu,GSM5085812_GM12878_rep2,GSE166797,Homo Sapiens,HG38,model_training,model_training;control;cell_line,Cell Line,GM12878 (Cell Line),Healthy/Control,Control
GSE178379/GSM5694434_HNES1_DUX4_overexpression_final_analysis.h5mu,GSM5694434_HNES1_DUX4_overexpression,GSE178379,Homo Sapiens,HG38,model_training,model_training;induced_model;cell_line;perturbation,Cell Line,HNES1 (Cell Line),Induced Model,DUX4 Overexpression
GSE178453/GSM5391776_HF1M-Cryo_final_analysis.h5mu,GSM5391776_HF1M-Cryo,GSE178453,Homo Sapiens,HG38,model_training,model_training;control,Tissue,Pituitary,Healthy/Control,Control
GSE192780/GSM5765318_012320M-TRM_final_analysis.h5mu,GSM5765318_012320M-TRM,GSE192780,Homo Sapiens,HG38,model_training,model_training;disease_model;cancer,Tissue,Ovary Tumor,Natural Disease,HGSOC
GSE192780/GSM5765320_012320M-ReCir_final_analysis.h5mu,GSM5765320_012320M-ReCir,GSE192780,Homo Sapiens,HG38,model_training,model_training;disease_model;cancer,Tissue,Ovary Tumor,Natural Disease,HGSOC
GSE192780/GSM5765322_100809M-TRM_final_analysis.h5mu,GSM5765322_100809M-TRM,GSE192780,Homo Sapiens,HG38,model_training,model_training;disease_model;cancer,Tissue,Ovary Tumor,Natural Disease,HGSOC
GSE192780/GSM5765324_100809M-ReCir_final_analysis.h5mu,GSM5765324_100809M-ReCir,GSE192780,Homo Sapiens,HG38,model_training,model_training;disease_model;cancer,Tissue,Ovary Tumor,Natural Disease,HGSOC
GSE192780/GSM5765326_042718M-TRM_final_analysis.h5mu,GSM5765326_042718M-TRM,GSE192780,Homo Sapiens,HG38,model_training,model_training;disease_model;cancer,Tissue,Ovary Tumor,Natural Disease,HGSOC
GSE192780/GSM5765328_042718M-ReCir_final_analysis.h5mu,GSM5765328_042718M-ReCir,GSE192780,Homo Sapiens,HG38,model_training,model_training;disease_model;cancer,Tissue,Ovary Tumor,Natural Disease,HGSOC
GSE192780/GSM5765330_041218M-TRM_final_analysis.h5mu,GSM5765330_041218M-TRM,GSE192780,Homo Sapiens,HG38,model_training,model_training;disease_model;cancer,Tissue,Ovary Tumor,Natural Disease,HGSOC
GSE192780/GSM5765332_041218M-ReCir_final_analysis.h5mu,GSM5765332_041218M-ReCir,GSE192780,Homo Sapiens,HG38,model_training,model_training;disease_model;cancer,Tissue,Ovary Tumor,Natural Disease,HGSOC
GSE197912/GSM5932294_H9d7_WT_final_analysis.h5mu,GSM5932294_H9d7_WT,GSE197912,Homo Sapiens,HG38,model_training,model_training;control;cell_line;perturbation;perturbation_control,Cell Line,H9 hESC (Cell Line),Healthy/Control,Control
GSE197912/GSM5932295_H9d7_GRHL2_KO_final_analysis.h5mu,GSM5932295_H9d7_GRHL2_KO,GSE197912,Homo Sapiens,HG38,model_training,model_training;induced_model;cell_line;perturbation,Cell Line,H9 hESC (Cell Line),Induced Model,GRHL2 KO
GSE210736/GSM6436169_CO5M_final_analysis.h5mu,GSM6436169_CO5M,GSE210736,Homo Sapiens,HG38,model_training,model_training;control;cell_line;organoid_or_differentiation_model,Cell Line,Cerebral Organoid (Cell Line),Healthy/Control,Control
GSE210736/GSM6436170_CO8M_final_analysis.h5mu,GSM6436170_CO8M,GSE210736,Homo Sapiens,HG38,model_training,model_training;control;cell_line;organoid_or_differentiation_model,Cell Line,Cerebral Organoid (Cell Line),Healthy/Control,Control
GSE210736/GSM6436171_CO12M_final_analysis.h5mu,GSM6436171_CO12M,GSE210736,Homo Sapiens,HG38,model_training,model_training;control;cell_line;organoid_or_differentiation_model,Cell Line,Cerebral Organoid (Cell Line),Healthy/Control,Control
GSE210736/GSM7869065_5M_CO_2_final_analysis.h5mu,GSM7869065_5M_CO_2,GSE210736,Homo Sapiens,HG38,model_training,model_training;control;cell_line;organoid_or_differentiation_model,Cell Line,Cerebral Organoid (Cell Line),Healthy/Control,Control
